BIRIM;TARIH;SAAT;CIRO;  altin ;euro;dolar;temperature;special days
B;1.17.2011;12;821.49;68337,72;20600;15500;7;0
B;1.17.2011;13;1740.58;68337,72;20600;15500;7;0
B;1.17.2011;14;2299.99;68337,72;20600;15500;7;0
B;1.17.2011;15;940.56;68337,72;20600;15500;7;0
B;1.17.2011;16;1161.64;68337,72;20600;15500;7;0
B;1.17.2011;17;877.48;68337,72;20600;15500;7;0
B;1.17.2011;18;513.29;68337,72;20600;15500;7;0
B;1.17.2011;19;773.13;68337,72;20600;15500;7;0
B;1.17.2011;20;1278.62;68337,72;20600;15500;7;0
B;1.17.2011;21;439.72;68337,72;20600;15500;7;0
B;1.18.2011;10;102.27;67872,44;20545;15337;7;0
B;1.18.2011;11;1002.36;67872,44;20545;15337;7;0
B;1.18.2011;12;912.23;67872,44;20545;15337;7;0
B;1.18.2011;13;1211.31;67872,44;20545;15337;7;0
B;1.18.2011;14;817.04;67872,44;20545;15337;7;0
B;1.18.2011;15;723.61;67872,44;20545;15337;7;0
B;1.18.2011;16;946.21;67872,44;20545;15337;7;0
B;1.18.2011;17;1236.84;67872,44;20545;15337;7;0
B;1.18.2011;18;1156.51;67872,44;20545;15337;7;0
B;1.18.2011;19;1096.71;67872,44;20545;15337;7;0
B;1.18.2011;20;1001.59;67872,44;20545;15337;7;0
B;1.18.2011;21;671.43;67872,44;20545;15337;7;0
B;1.19.2011;10;188.32;67623,97;20737;15394;6;0
B;1.19.2011;11;206.25;67623,97;20737;15394;6;0
B;1.19.2011;12;470.3;67623,97;20737;15394;6;0
B;1.19.2011;13;143.45;67623,97;20737;15394;6;0
B;1.19.2011;14;696.45;67623,97;20737;15394;6;0
B;1.19.2011;15;1297;67623,97;20737;15394;6;0
B;1.19.2011;16;1090.39;67623,97;20737;15394;6;0
B;1.19.2011;17;1508.83;67623,97;20737;15394;6;0
B;1.19.2011;18;701.74;67623,97;20737;15394;6;0
B;1.19.2011;19;1524.14;67623,97;20737;15394;6;0
B;1.19.2011;20;1713.43;67623,97;20737;15394;6;0
B;1.19.2011;21;402.31;67623,97;20737;15394;6;0
B;1.20.2011;10;67.78;67953,32;21043;15608;6;0
B;1.20.2011;11;229.79;67953,32;21043;15608;6;0
B;1.20.2011;12;597.11;67953,32;21043;15608;6;0
B;1.20.2011;13;856.26;67953,32;21043;15608;6;0
B;1.20.2011;14;2773.39;67953,32;21043;15608;6;0
B;1.20.2011;15;1548.25;67953,32;21043;15608;6;0
B;1.20.2011;16;1425.74;67953,32;21043;15608;6;0
B;1.20.2011;17;1672.21;67953,32;21043;15608;6;0
B;1.20.2011;18;1953.96;67953,32;21043;15608;6;0
B;1.20.2011;19;1617.19;67953,32;21043;15608;6;0
B;1.20.2011;20;632.81;67953,32;21043;15608;6;0
B;1.20.2011;21;413.59;67953,32;21043;15608;6;0
B;1.21.2011;10;296.4;68589,6;21343;15769;9;0
B;1.21.2011;11;657.25;68589,6;21343;15769;9;0
B;1.21.2011;12;766.26;68589,6;21343;15769;9;0
B;1.21.2011;13;1025.35;68589,6;21343;15769;9;0
B;1.21.2011;14;1424.44;68589,6;21343;15769;9;0
